ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0015846,polyamine transport,10/2001,14/6449,0.7142857142857143,2.3020632540872423,3.2709619667036898,0.002193811998563522,0.029567952854946386,0.025701011652226127,YOR273C/YHL016C/YDL210W/YKR039W/YPL274W/YGR138C/YBR043C/YNR055C/YPR156C/YJR059W,10
GO:0006986,response to unfolded protein,24/2001,46/6449,0.5217391304347826,1.681507072550681,3.1110801621930877,0.002195137590707763,0.029567952854946386,0.025701011652226127,YLR024C/YNL305C/YFL031W/YJL034W/YLR259C/YHR079C/YKL073W/YLR096W/YOR093C/YGR184C/YDR122W/YLR332W/YER133W/YGR038W/YHR029C/YDR411C/YER089C/YLR361C/YBR162W-A/YHR204W/YJL087C/YMR214W/YJR143C/YFL044C,24
GO:0097237,cellular response to toxic substance,24/2001,46/6449,0.5217391304347826,1.681507072550681,3.1110801621930877,0.002195137590707763,0.029567952854946386,0.025701011652226127,YGR088W/YER132C/YHR055C/YHR008C/YDL168W/YKR076W/YCL035C/YBL064C/YOR391C/YLR109W/YLR364W/YJR111C/YML028W/YPL280W/YDR513W/YNL229C/YMR322C/YKL026C/YHR106W/YGR154C/YKL071W/YEL066W/YAR028W/YKL086W,24
GO:1901136,carbohydrate derivative catabolic process,30/2001,61/6449,0.4918032786885246,1.5850271585518714,3.079017525544969,0.0022055349448911058,0.029567952854946386,0.025701011652226127,YJL052W/YNR071C/YCR012W/YKL152C/YHR174W/YKL060C/YAL038W/YGL253W/YLR377C/YGR254W/YCL043C/YBR196C/YGR240C/YPL075W/YDR050C/YMR205C/YLR446W/YOL136C/YLR286C/YLR330W/YOR344C/YDL021W/YHR204W/YER005W/YOL056W/YOR163W/YBR252W/YOR347C/YBR019C/YMR323W,30
GO:0055086,nucleobase-containing small molecule metabolic process,105/2001,268/6449,0.3917910447761194,1.2626988744433754,2.9461164339216213,0.0023235697835334262,0.03090888177165395,0.02686657187488262,YJL052W/YCR012W/YKL152C/YHR174W/YKL060C/YAL038W/YJR010W/YKL001C/YML081C-A/YJR121W/YGL253W/YML075C/YLR377C/YKL016C/YPL271W/YMR105C/YBR117C/YOL077W-A/YGR254W/YMR246W/YNL141W/YJL116C/YGR043C/YFL018C/YOR047C/YHR183W/YOR374W/YCR026C/YBR196C/YIR031C/YNL241C/YNR001C/YMR170C/YNR016C/YMR271C/YGR240C/YPL075W/YMR207C/YNL071W/YDR322C-A/YLR153C/YDL055C/YBL099W/YPL061W/YLR295C/YNR043W/YDR050C/Q0085/YNL129W/YKL181W/YMR205C/YDR148C/YDL238C/YJL005W/YLR231C/YER099C/YHR202W/YIL009W/YGL037C/YGR180C/YPR020W/YNL200C/YLR446W/YNR012W/YMR315W/YLR014C/YLR450W/YHR074W/YOL136C/YIL155C/YOL061W/YLR043C/YGR204W/YBR242W/YOR344C/YIR028W/YDL185W/YDR399W/YGL101W/YJR133W/YLR174W/YMR169C/YDL021W/YPR021C/YOR303W/YCL047C/YIL020C/YPR106W/YIR027C/YJR105W/YGR010W/Q0130/YER005W/YGR061C/YJR019C/YOR074C/YFL017C/YOL056W/YBL039C/YMR208W/YOR163W/YBR252W/YJR078W/YOR347C/YMR323W,105
GO:0008204,ergosterol metabolic process,21/2001,39/6449,0.5384615384615384,1.7354015300042287,3.0894522502850355,0.002472732683301749,0.03239091056905192,0.028154778724295528,YGR060W/YML075C/YMR015C/YML087C/YGR175C/YHR007C/YLR056W/YHR072W/YPL028W/YKL150W/YNR043W/YGL001C/YLR100W/YHR190W/YLR450W/YLR228C/YML125C/YMR202W/YER125W/YGL012W/YMR208W,21
GO:0019319,hexose biosynthetic process,21/2001,39/6449,0.5384615384615384,1.7354015300042287,3.0894522502850355,0.002472732683301749,0.03239091056905192,0.028154778724295528,YJL052W/YCR012W/YKL152C/YHR174W/YKL060C/YOL126C/YKR097W/YLR377C/YGR254W/YMR280C/YJR159W/YBR196C/YDR511W/YJL089W/YDR050C/YGL062W/YGL227W/YBR218C/YML028W/YBR058C/YGR066C,21
GO:0051056,regulation of small GTPase mediated signal transduction,15/2001,25/6449,0.6,1.9337331334332832,3.1372106279999667,0.0025375278257531563,0.032987861734791034,0.028673659721628574,YAL056W/YJR138W/YLR178C/YKL203C/YHL023C/YER155C/YPR095C/YPL115C/YBR140C/YLR179C/YMR001C/YEL022W/YOR371C/YJR031C/YIL033C,15
GO:0015918,sterol transport,18/2001,32/6449,0.5625,1.812874812593703,3.0916214074056176,0.002635832736176574,0.03400818778405264,0.029560546000492325,YJR120W/YKR013W/YPL006W/YHR155W/YOR011W/YOL113W/YDR326C/YLR228C/YHL007C/YIL013C/YFL042C/YJL078C/YHR080C/YHR001W/YAR042W/YDL046W/YNL298W/YJR150C,18
GO:0006613,cotranslational protein targeting to membrane,14/2001,23/6449,0.6086956521739131,1.961758251309128,3.098939857758884,0.002925919576154714,0.03730866082877431,0.032429378232347685,YER103W/YAL005C/YLL024C/YHR193C/YJL034W/YKL122C/YDR086C/YLR378C/YER019C-A/YPL037C/YPL210C/YDL092W/YML105C/YDR252W,14
GO:0034308,primary alcohol metabolic process,20/2001,37/6449,0.5405405405405406,1.7421019220119671,3.036136766677389,0.002935121918347629,0.03730866082877431,0.032429378232347685,YGR087C/YMR145C/YOR374W/YLR134W/YMR170C/YLR153C/YPL061W/YOL086C/YGR144W/YLR044C/YMR303C/YOL055C/YER073W/YML070W/YDR081C/YDL085W/YPR121W/YFL059W/YFL053W/YJR156C,20
GO:0098754,detoxification,28/2001,57/6449,0.49122807017543857,1.5831733256178926,2.9659946629787415,0.003123740738993177,0.039340537536363275,0.03419552305792342,YGR088W/YER132C/YHR055C/YDR406W/YHR008C/YDL168W/YKR076W/YCL035C/YBL064C/YOR391C/YDR338C/YLR109W/YLR364W/YBR295W/YJR111C/YML028W/YPL280W/YOR328W/YDR513W/YNL229C/YHL035C/YMR322C/YKL026C/YHR106W/YGR154C/YKL071W/YEL066W/YKL086W,28
