gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YNR039C,45.23601709159639,0.29862641580043553,0.2975137684557168,0.28806069338110035,0.3796125372916629
YGR041W,58.13968695316484,-0.2577636371463335,0.2539835002007257,0.2883947716207535,0.37976113072698475
YGR174C,138.57468021751964,-0.21034935296946852,0.2042207523407348,0.28847413208192335,0.37976113072698475
YHR005C,15.527034696052588,0.39747214082555804,0.4230263347751566,0.2884619664752102,0.37976113072698475
YOL031C,56.36275662803094,0.3158627599259816,0.31832508240260166,0.2884251735261478,0.37976113072698475
YOR211C,136.37479396767736,0.1925290953184784,0.18593883550250662,0.2882566765921855,0.37976113072698475
YOL041C,64.68828522636075,0.38732553692252636,0.40862097710761686,0.2885381384757509,0.379766224358976
YDR372C,159.35714049432391,0.1929311662340014,0.18570271665134877,0.2887190329345149,0.3799251287729655
YML042W,449.6367300802045,-0.1831537529520707,0.17655054873993548,0.289029126537138,0.3802539446004222
YDR441C,55.62177497343733,-0.3548405719164877,0.3679431470332091,0.2893258065120703,0.38056497982164633
YPL222W,252.4938432431744,-0.199447376969294,0.19356790597133894,0.29009009252873696,0.381490823473339
YHR210C,9.876919945357091,-0.4399723101984317,0.4998654219142113,0.29042490348620337,0.38177212021552337
YPL241C,19.153344447793277,-0.3958130382042544,0.4228729500359254,0.2903810385171367,0.38177212021552337
YDR023W,235.87173001694617,0.22492832417365058,0.21891001886410114,0.2905856969600128,0.3819039909058233
YEL035C,6.897771652076614,-0.5005905172600923,0.6420633110483874,0.29104969677602416,0.38243421455276583
YER135C,4.096115250291603,0.5084419288120762,0.7535431670078446,0.29290804412034666,0.3847959847347595
YIL085C,95.32160570622757,-0.24070509554707117,0.23902695089266032,0.2940393488079801,0.38620184852795225
YMR075W,89.34142315834283,-0.3130401104681433,0.3218064258474975,0.29562005925950197,0.388197270580943
YNL003C,32.95977651673975,-0.30040370146970624,0.30678425759141514,0.2956862803641865,0.38820350530142156
YBL068W-A,5.085888153372409,0.4921260574125115,0.6368728886945939,0.2958600830685354,0.3883509508579923
YDR392W,63.20939925513203,0.2516348353618178,0.25062098475007166,0.2959357846972596,0.3883663812285411
YLR222C,36.208641777670785,-0.31490776131138687,0.3247172089434343,0.2959948365562895,0.3883663812285411
YNL144C,273.8946147352955,0.22341895371927192,0.2207077300955017,0.2972973911756537,0.389994396608694
YOR175C,160.79118220870663,-0.190979044175758,0.18788577860457492,0.2974012952768641,0.3900496738677875
